site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/1/1,PM2.5,15,15,8,13,14,14,11,10,11,15,16,14,13,9,10,12,13,14,11,13,13,14,11,10
古亭,2021/1/2,PM2.5,14,11,14,13,11,18,13,13,11,11,13,15,13,11,11,11,11,8,16,7,6,9,16,8
古亭,2021/1/3,PM2.5,11,11,10,10,11,10,9,8,7,6,9,7,5,6,8,10,13,11,9,8,9,6,14,9
古亭,2021/1/4,PM2.5,8,6,4,8,7,8,6,5,5,7,6,9,5,5,4,4,9,7,7,9,10,9,10,6
古亭,2021/1/5,PM2.5,16,5,5,5,5,4,5,7,4,6,6,8,9,7,12,8,9,6,8,10,11,12,13,11
古亭,2021/1/6,PM2.5,9,5,9,9,5,2,8,11,9,10,17,11,12,13,13,11,9,14,19,15,11,8,8,6
古亭,2021/1/7,PM2.5,6,3,0,2,3,3,4,9,7,8,6,13,9,11,11,9,5,11,8,7,6,8,9,10
古亭,2021/1/8,PM2.5,13,12,13,12,9,17,13,14,12,10,11,12,13,9,11,11,14,12,10,14,15,11,11,11
古亭,2021/1/9,PM2.5,14,13,9,9,10,14,12,12,12,12,12,11,12,12,11,15,16,18,19,18,11,15,15,12
古亭,2021/1/10,PM2.5,17,18,9,13,16,12,12,11,10,10,10,9,10,10,9,9,17,16,12,11,17,19,17,14
古亭,2021/1/11,PM2.5,18,8,12,9,11,11,10,11,11,13,11,11,14,11,12,10,14,13,23,17,21,22,21,21
古亭,2021/1/12,PM2.5,16,23,22,26,27,25,35,34,38,36,41,42,37,40,37,34,31,33,30,31,21,19,18,16
古亭,2021/1/13,PM2.5,19,16,13,11,11,11,13,18,19,20,13,14,12,10,10,10,19,20,18,17,16,15,15,13
古亭,2021/1/14,PM2.5,17,12,9,15,14,14,12,11,13,15,9,8,4,6,7,9,12,14,10,11,12,16,21,21
古亭,2021/1/15,PM2.5,19,15,10,12,9,7,11,13,12,15,13,12,15,17,32,18,20,27,29,31,27,19,16,12
古亭,2021/1/16,PM2.5,12,9,11,13,9,11,9,11,12,7,9,7,5,5,32,44,45,47,43,42,40,31,24,21
古亭,2021/1/17,PM2.5,17,18,19,17,17,8,16,17,23,26,16,18,13,16,19,14,17,15,23,28,24,21,23,23
古亭,2021/1/18,PM2.5,25,20,24,25,24,20,22,22,18,23,20,18,17,18,16,19,15,15,14,14,13,12,8,9
古亭,2021/1/19,PM2.5,7,8,5,10,6,5,6,7,6,6,9,8,7,9,8,9,10,10,18,13,12,9,9,6
古亭,2021/1/20,PM2.5,9,7,7,5,1,4,4,6,7,5,10,9,6,6,8,9,6,12,11,12,12,13,11,10
古亭,2021/1/21,PM2.5,11,13,11,11,9,11,11,9,8,6,5,5,3,1,2,2,4,11,16,11,12,11,8,6
古亭,2021/1/22,PM2.5,14,8,5,4,1,1,1,1,6,7,4,2,1,0,0,0,6,7,5,4,6,7,7,5
古亭,2021/1/23,PM2.5,3,7,4,2,8,11,11,13,14,17,19,14,12,12,10,11,20,13,16,11,10,16,7,14
