site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
前金,2021/1/1,PM2.5,39,34,34,30,31,36,35,35,40,43,41,42,35,30,25,19,20,25,25,30,44,36,38,40
前金,2021/1/2,PM2.5,41,46,40,45,41,38,42,43,38,34,33,44,34,33,27,25,24,22,24,26,34,32,39,40
前金,2021/1/3,PM2.5,41,40,39,35,38,44,40,44,42,37,34,22,18,25,23,18,20,20,28,27,30,29,24,20
前金,2021/1/4,PM2.5,23,22,22,23,27,26,21,25,29,29,23,30,29,30,20,21,21,27,28,45,83,28,59,40
前金,2021/1/5,PM2.5,39,34,32,36,35,34,31,34,32,26,26,25,26,19,21,28,23,25,21,24,25,21,24,21
前金,2021/1/6,PM2.5,23,20,29,22,23,23,22,24,30,29,31,33,28,20,24,21,18,20,22,30,38,37,44,43
前金,2021/1/7,PM2.5,40,45,36,34,36,39,31,24,20,22,17,22,27,27,26,24,27,27,20,17,21,21,19,20
前金,2021/1/8,PM2.5,13,16,17,10,12,14,17,19,18,20,18,18,19,16,23,18,10,23,24,21,23,25,20,23
前金,2021/1/9,PM2.5,19,18,21,17,15,13,16,20,24,23,28,29,29,30,33,29,27,29,37,33,35,27,31,32
前金,2021/1/10,PM2.5,30,28,26,32,27,29,32,33,30,45,31,31,26,26,22,19,17,23,19,23,26,28,28,29
前金,2021/1/11,PM2.5,32,35,33,29,33,30,35,37,39,42,36,36,34,38,33,25,29,23,24,25,27,29,28,27
前金,2021/1/12,PM2.5,28,27,21,15,19,16,21,17,17,19,33,41,44,43,40,45,44,44,60,55,70,61,63,61
前金,2021/1/13,PM2.5,65,69,70,71,72,74,74,63,52,45,29,19,34,42,24,13,20,18,33,27,31,30,34,38
前金,2021/1/14,PM2.5,33,34,27,24,28,21,18,24,31,29,29,28,17,16,21,25,23,22,25,36,36,38,43,40
前金,2021/1/15,PM2.5,41,47,43,49,44,44,39,46,54,31,31,30,29,31,15,21,27,31,39,50,63,50,59,63
前金,2021/1/16,PM2.5,66,65,64,66,69,71,72,78,88,86,62,53,38,37,33,26,21,32,40,83,88,78,80,74
前金,2021/1/17,PM2.5,63,55,42,42,36,34,23,23,20,22,25,26,23,26,31,34,33,35,35,31,31,28,28,27
前金,2021/1/18,PM2.5,21,25,29,34,30,32,33,36,41,35,32,21,21,28,25,18,30,27,32,36,33,31,40,36
前金,2021/1/19,PM2.5,35,43,41,43,42,52,50,49,52,48,48,41,32,24,27,29,32,25,28,30,34,38,36,36
前金,2021/1/20,PM2.5,36,37,32,37,39,37,42,55,66,64,67,71,56,44,39,38,35,37,35,43,49,54,52,62
前金,2021/1/21,PM2.5,56,57,59,64,77,60,65,60,57,55,67,57,49,76,74,77,61,53,47,37,37,45,54,56
前金,2021/1/22,PM2.5,67,76,76,77,74,75,73,68,78,87,93,99,91,85,62,52,48,25,15,47,57,63,67,62
前金,2021/1/23,PM2.5,65,63,43,51,59,71,60,61,54,59,54,52,54,52,56,60,57,54,34,23,28,31,36,35
前金,2021/1/24,PM2.5,35,37,42,43,48,44,49,51,55,73,73,66,54,59,52,44,33,44,41,48,59,60,54,54
前金,2021/1/25,PM2.5,49,66,72,70,64,58,53,53,54,53,47,42,59,50,51,45,35,39,44,39,44,45,25,21
前金,2021/1/26,PM2.5,21,16,58,56,46,45,29,47,52,58,68,57,64,63,65,46,45,42,38,43,57,68,74,74
前金,2021/1/27,PM2.5,79,74,68,69,80,74,69,74,84,83,87,97,95,83,77,51,46,44,41,40,45,67,65,55
前金,2021/1/28,PM2.5,55,55,60,50,53,56,56,52,59,70,77,61,50,48,47,43,39,36,36,33,25,21,19,21
前金,2021/1/29,PM2.5,22,28,25,25,27,30,27,34,36,57,21,26,24,26,33,39,39,36,36,45,54,57,50,49
前金,2021/1/30,PM2.5,45,48,44,39,36,36,42,33,38,37,31,27,27,27,27,24,25,27,24,23,28,29,32,36
前金,2021/1/31,PM2.5,43,47,44,42,41,35,32,56,57,47,41,49,51,41,30,24,22,19,25,30,26,21,28,37
前金,2021/2/1,PM2.5,30,29,26,31,38,31,29,33,39,30,26,14,32,11,16,17,14,20,19,26,29,41,38,37
前金,2021/2/2,PM2.5,40,33,36,27,22,24,21,28,38,33,40,46,53,50,45,39,42,36,38,45,45,41,47,52
前金,2021/2/3,PM2.5,53,66,85,77,76,67,81,84,89,74,54,34,42,43,43,36,30,32,29,32,39,46,48,40
前金,2021/2/4,PM2.5,40,55,60,60,51,49,45,40,45,52,46,42,44,42,37,33,29,29,29,37,32,36,38,41
前金,2021/2/5,PM2.5,58,62,66,62,55,39,49,56,38,38,40,43,42,30,34,32,26,27,26,34,44,50,60,61
前金,2021/2/6,PM2.5,61,52,54,59,52,53,49,49,45,26,22,17,22,20,23,34,30,41,29,34,47,59,64,61
前金,2021/2/7,PM2.5,69,67,63,65,59,52,46,52,57,58,71,62,63,54,58,41,32,32,36,39,49,51,53,73
前金,2021/2/8,PM2.5,73,68,57,45,46,68,69,74,79,76,61,53,43,42,45,60,63,50,40,35,36,53,53,60
前金,2021/2/9,PM2.5,57,52,55,54,53,59,60,54,53,41,31,30,29,32,27,28,30,22,22,28,26,23,23,24
前金,2021/2/10,PM2.5,32,36,39,32,23,25,19,22,25,35,33,29,33,30,30,31,29,23,25,30,41,36,47,53
前金,2021/2/11,PM2.5,42,46,40,35,5,5,4,6,11,8,9,13,16,18,19,19,29,17,13,17,24,21,18,24
前金,2021/2/12,PM2.5,18,13,12,16,17,13,19,15,22,21,15,22,22,28,18,21,23,24,27,32,42,38,36,37
前金,2021/2/13,PM2.5,39,36,32,35,38,40,38,42,36,40,39,26,39,32,31,32,31,30,23,24,24,30,30,33
前金,2021/2/14,PM2.5,28,32,34,30,25,25,28,35,42,36,47,49,37,33,35,28,27,31,30,39,49,58,63,59
前金,2021/2/15,PM2.5,57,54,50,60,60,61,49,53,60,55,54,63,61,53,34,28,27,26,24,32,45,42,40,38
前金,2021/2/16,PM2.5,50,46,47,51,41,45,40,47,54,42,32,64,53,52,39,37,35,34,33,35,41,44,50,48
前金,2021/2/17,PM2.5,42,31,30,41,61,63,67,62,58,49,42,36,35,41,30,23,30,39,39,41,44,46,43,39
前金,2021/2/18,PM2.5,44,39,45,40,36,25,32,31,39,37,38,33,36,32,32,26,33,38,40,33,31,32,41,41
前金,2021/2/19,PM2.5,42,42,38,42,39,31,32,36,43,43,34,33,23,22,21,20,21,22,23,25,29,29,30,29
前金,2021/2/20,PM2.5,37,50,56,49,42,41,34,38,43,37,23,15,19,18,24,27,30,21,31,38,36,41,42,35
前金,2021/2/21,PM2.5,37,33,39,28,30,29,25,27,31,24,26,26,22,19,20,20,17,14,18,23,30,23,21,21
前金,2021/2/22,PM2.5,31,25,24,28,26,30,25,37,39,35,25,23,8,11,10,14,15,18,12,15,18,15,19,24
前金,2021/2/23,PM2.5,25,23,27,28,25,31,32,34,38,38,42,36,32,36,32,46,48,45,43,39,20,29,28,27
前金,2021/2/24,PM2.5,35,37,41,46,41,44,52,49,63,58,77,41,30,49,44,38,40,42,38,37,35,32,40,48
前金,2021/2/25,PM2.5,54,53,54,55,52,46,40,37,36,39,33,26,23,18,18,16,19,26,25,21,28,28,35,35
前金,2021/2/26,PM2.5,41,44,32,31,32,34,38,47,48,33,26,20,22,20,15,19,12,16,18,29,40,45,44,50
前金,2021/2/27,PM2.5,53,48,48,49,58,68,76,82,91,96,76,67,64,42,33,33,21,29,31,27,36,34,39,40
前金,2021/2/28,PM2.5,39,42,40,42,43,41,45,50,53,53,40,32,37,37,32,25,19,14,21,27,17,17,20,25
前金,2021/3/1,PM2.5,37,44,43,42,44,38,43,52,53,53,56,46,43,36,34,24,25,27,23,18,26,17,15,13
前金,2021/3/2,PM2.5,14,20,27,30,27,34,39,42,41,37,27,33,26,25,28,25,34,21,25,21,21,23,24,25
前金,2021/3/3,PM2.5,21,22,24,25,28,28,27,28,35,42,34,34,30,20,29,26,27,23,29,33,27,42,43,41
前金,2021/3/4,PM2.5,44,50,47,45,51,49,45,55,55,59,44,43,41,59,47,36,33,32,31,38,38,42,43,46
前金,2021/3/5,PM2.5,46,55,57,50,51,49,52,51,57,53,40,27,26,26,28,37,30,23,25,33,41,40,36,33
前金,2021/3/6,PM2.5,47,49,56,47,42,36,58,54,70,65,43,23,16,18,27,17,27,22,19,17,32,24,24,21
前金,2021/3/7,PM2.5,26,29,32,34,39,38,43,37,47,50,39,34,39,27,34,35,33,31,23,35,31,44,43,34
前金,2021/3/8,PM2.5,34,34,36,32,35,37,37,42,44,48,46,42,44,42,35,40,35,33,32,27,34,51,30,36
前金,2021/3/9,PM2.5,37,40,40,44,46,46,42,54,64,74,78,73,70,75,43,37,33,36,30,37,51,51,55,59
前金,2021/3/10,PM2.5,70,76,71,64,70,71,66,66,79,42,69,58,47,39,37,41,33,38,34,28,28,30,29,40
前金,2021/3/11,PM2.5,40,40,40,43,41,42,40,49,48,56,60,49,48,45,48,42,46,46,39,41,49,48,50,49
前金,2021/3/12,PM2.5,39,36,67,84,76,74,64,58,59,67,66,61,69,45,30,30,27,22,26,29,30,33,43,41
前金,2021/3/13,PM2.5,43,41,40,41,50,51,51,54,65,49,31,35,23,29,31,30,28,27,30,26,29,42,47,49
前金,2021/3/14,PM2.5,53,46,52,50,46,48,46,51,54,73,63,48,39,24,24,28,31,30,31,34,37,30,34,53
前金,2021/3/15,PM2.5,66,62,61,53,45,44,52,64,70,42,35,40,30,24,21,24,24,24,21,27,30,25,26,28
前金,2021/3/16,PM2.5,35,39,38,38,40,46,44,49,44,43,45,44,30,53,36,27,31,28,23,26,29,33,23,30
前金,2021/3/17,PM2.5,34,34,33,33,29,28,38,38,29,17,24,30,32,26,22,19,24,21,21,28,30,26,33,43
前金,2021/3/18,PM2.5,44,49,55,65,61,54,59,69,69,60,53,53,55,45,26,16,16,21,17,23,25,30,31,31
前金,2021/3/19,PM2.5,28,30,38,42,55,54,55,61,60,62,61,40,38,29,21,18,17,18,19,20,20,17,22,25
前金,2021/3/20,PM2.5,25,34,26,30,29,36,30,30,28,33,27,36,38,24,30,27,19,21,22,29,34,42,37,28
前金,2021/3/21,PM2.5,44,49,56,58,39,41,42,55,64,64,62,42,40,36,38,32,37,37,49,55,47,58,59,55
前金,2021/3/22,PM2.5,53,45,47,42,33,35,36,36,40,46,49,47,49,45,48,43,45,41,46,46,44,39,34,34
前金,2021/3/23,PM2.5,37,36,34,40,45,41,42,48,57,50,51,53,41,35,29,26,20,18,18,16,19,27,45,49
前金,2021/3/24,PM2.5,45,48,39,35,36,34,45,46,47,48,52,46,26,19,19,20,18,18,17,21,22,28,34,44
前金,2021/3/25,PM2.5,36,29,31,31,39,30,31,41,32,28,56,34,41,32,26,23,25,27,29,28,35,36,39,46
前金,2021/3/26,PM2.5,49,49,55,50,43,38,51,54,31,27,31,38,29,29,27,26,26,25,24,23,26,25,30,32
前金,2021/3/27,PM2.5,37,43,42,43,43,34,41,47,61,49,39,34,47,16,20,24,20,19,26,18,27,32,23,26
前金,2021/3/28,PM2.5,26,25,32,33,27,19,27,21,24,20,17,16,14,22,16,33,15,14,21,18,17,21,21,19
前金,2021/3/29,PM2.5,14,14,14,19,22,23,21,20,30,33,28,22,20,21,19,20,21,17,18,19,16,20,13,18
前金,2021/3/30,PM2.5,20,16,12,19,19,17,17,25,24,23,18,27,18,13,11,16,17,11,10,12,10,11,15,10
前金,2021/3/31,PM2.5,8,11,14,18,21,14,14,12,16,15,18,18,13,15,10,26,23,13,16,16,13,19,13,16
前金,2021/4/1,PM2.5,18,15,21,15,13,11,9,13,15,18,19,20,15,15,17,17,14,11,18,19,14,17,22,21
前金,2021/4/2,PM2.5,21,24,25,24,25,20,16,21,16,24,15,11,11,15,13,10,12,11,12,15,16,19,16,11
前金,2021/4/3,PM2.5,17,18,19,18,22,34,34,28,35,36,33,35,32,20,18,11,12,14,16,13,*,21,23,28
前金,2021/4/4,PM2.5,23,27,30,35,33,39,38,46,39,44,43,45,35,29,24,30,28,25,26,40,40,35,37,54
前金,2021/4/5,PM2.5,42,38,34,30,29,28,25,27,28,25,25,24,19,16,23,20,23,25,25,29,28,23,25,34
前金,2021/4/6,PM2.5,27,27,28,36,31,33,41,39,35,36,29,26,23,20,23,22,23,20,20,14,15,20,21,19
前金,2021/4/7,PM2.5,27,26,26,28,24,25,26,29,24,26,33,34,25,24,26,22,22,17,20,14,17,21,21,12
前金,2021/4/8,PM2.5,18,31,37,34,28,35,28,36,30,21,24,29,41,32,28,23,21,25,22,29,25,30,27,23
前金,2021/4/9,PM2.5,25,23,27,30,30,30,33,32,36,36,37,38,29,25,23,25,26,28,38,39,38,38,42,43
前金,2021/4/10,PM2.5,48,47,45,45,50,52,53,48,37,42,36,25,24,20,16,17,13,17,16,25,31,27,29,35
前金,2021/4/11,PM2.5,38,38,35,38,37,35,38,41,39,42,39,18,22,18,16,14,19,15,11,20,21,19,29,38
前金,2021/4/12,PM2.5,41,38,44,41,41,34,42,51,39,33,30,16,19,21,12,14,11,14,15,11,16,16,26,29
前金,2021/4/13,PM2.5,26,37,32,42,31,27,31,25,25,17,17,16,16,22,25,22,14,13,13,12,12,14,14,19
前金,2021/4/14,PM2.5,25,32,34,38,38,35,35,37,43,39,38,31,33,27,22,28,26,24,21,17,28,29,31,30
前金,2021/4/15,PM2.5,34,30,32,31,27,34,35,32,34,35,34,31,30,22,15,17,13,12,12,12,15,16,19,25
前金,2021/4/16,PM2.5,29,29,36,36,36,39,42,41,43,39,20,24,25,17,17,18,11,11,13,14,16,11,15,21
前金,2021/4/17,PM2.5,28,29,30,34,36,41,41,39,39,44,43,37,29,19,19,20,20,25,26,27,25,32,31,26
前金,2021/4/18,PM2.5,26,24,22,25,22,24,25,22,19,29,31,32,29,31,36,41,44,39,43,35,33,32,31,31
前金,2021/4/19,PM2.5,27,14,14,21,28,27,26,26,27,22,28,23,32,28,28,26,31,27,24,25,28,27,30,25
前金,2021/4/20,PM2.5,26,26,27,32,31,30,27,29,31,37,34,28,24,23,21,21,20,24,22,21,20,20,21,14
前金,2021/4/21,PM2.5,22,18,18,24,19,19,19,21,20,20,25,26,25,30,29,30,26,23,26,25,29,25,28,35
前金,2021/4/22,PM2.5,31,28,23,22,28,28,32,39,42,34,36,30,22,25,25,23,20,20,27,23,23,25,24,26
前金,2021/4/23,PM2.5,23,31,36,46,48,59,56,56,42,40,32,24,20,19,17,11,14,17,14,16,13,20,17,19
前金,2021/4/24,PM2.5,21,12,15,12,17,13,13,17,21,24,27,26,25,22,25,25,32,34,34,25,25,20,23,18
前金,2021/4/25,PM2.5,14,15,12,16,9,11,20,21,21,18,15,16,11,6,11,18,22,19,25,20,28,22,18,23
前金,2021/4/26,PM2.5,32,25,25,25,26,21,22,22,20,14,12,9,19,12,10,10,8,12,20,19,18,20,22,17
前金,2021/4/27,PM2.5,28,11,9,12,11,11,16,19,21,11,11,17,12,14,14,14,11,11,7,21,26,27,33,34
前金,2021/4/28,PM2.5,31,27,29,26,27,32,26,28,24,21,24,29,28,26,16,15,19,23,17,13,14,11,11,9
前金,2021/4/29,PM2.5,16,16,21,21,20,24,16,16,19,18,9,15,13,15,19,17,15,20,23,30,27,32,34,34
前金,2021/4/30,PM2.5,38,32,42,42,40,41,39,29,25,23,21,18,17,12,14,14,13,13,16,12,16,13,15,11
前金,2021/5/1,PM2.5,13,18,16,14,16,12,21,26,16,16,12,12,14,12,10,9,6,8,11,11,11,13,11,11
前金,2021/5/2,PM2.5,10,9,10,16,22,27,28,30,31,32,21,16,15,15,15,14,14,16,16,18,23,31,35,37
前金,2021/5/3,PM2.5,38,45,43,44,40,37,42,39,42,48,39,32,37,41,44,40,32,28,20,21,22,30,27,23
前金,2021/5/4,PM2.5,25,36,40,30,27,26,27,23,27,28,24,16,13,12,15,11,12,12,9,10,6,7,7,7
前金,2021/5/5,PM2.5,7,4,7,9,11,13,14,18,15,10,10,9,11,7,11,11,13,14,16,25,27,19,32,37
前金,2021/5/6,PM2.5,44,37,38,36,37,35,31,37,27,20,19,23,20,21,19,15,20,18,20,13,14,17,17,20
前金,2021/5/7,PM2.5,17,18,18,13,24,23,23,26,34,31,28,25,18,19,16,10,8,15,12,18,14,16,11,14
前金,2021/5/8,PM2.5,14,16,12,9,7,9,11,12,16,22,15,10,7,7,11,9,10,9,8,8,6,8,8,7
前金,2021/5/9,PM2.5,8,9,8,11,10,12,16,17,18,19,10,12,11,9,9,13,12,8,9,11,10,6,5,7
前金,2021/5/10,PM2.5,10,9,10,10,9,8,13,12,13,16,11,11,7,9,9,10,9,8,8,9,8,7,8,8
前金,2021/5/11,PM2.5,8,9,12,9,7,10,9,11,10,8,8,9,8,9,10,9,8,7,6,6,6,10,7,16
前金,2021/5/12,PM2.5,7,6,5,8,8,9,10,19,17,10,10,10,6,5,5,6,6,11,8,10,9,6,12,11
前金,2021/5/13,PM2.5,20,8,13,10,10,16,11,11,13,8,8,8,9,9,10,7,7,5,7,7,8,7,6,4
前金,2021/5/14,PM2.5,13,8,6,7,5,6,6,6,8,8,9,11,10,9,8,7,10,9,8,9,9,5,10,9
前金,2021/5/15,PM2.5,13,14,8,5,7,7,5,4,6,11,9,9,8,7,8,9,11,10,8,8,7,10,9,7
前金,2021/5/16,PM2.5,9,9,6,4,4,7,5,8,9,10,8,7,7,7,8,9,8,8,7,5,8,8,9,6
前金,2021/5/17,PM2.5,12,9,9,7,8,10,11,8,8,9,10,9,11,8,10,8,7,6,7,7,7,8,9,7
前金,2021/5/18,PM2.5,7,6,7,7,6,4,3,4,5,4,5,4,3,4,6,8,8,7,7,6,8,7,4,6
前金,2021/5/19,PM2.5,7,7,4,5,3,2,5,6,6,8,9,10,10,9,11,11,10,14,11,8,8,6,8,4
前金,2021/5/20,PM2.5,5,5,4,6,8,6,4,5,9,9,6,4,6,7,7,7,10,7,7,6,7,6,7,5
前金,2021/5/21,PM2.5,15,5,7,6,6,7,5,10,9,8,8,10,8,8,5,4,6,9,9,9,10,8,7,8
前金,2021/5/22,PM2.5,7,7,9,12,13,11,10,9,12,13,12,11,11,12,13,14,10,7,11,13,13,13,12,11
前金,2021/5/23,PM2.5,11,14,9,9,8,9,11,11,8,10,11,8,9,9,10,9,8,7,8,6,4,6,9,8
前金,2021/5/24,PM2.5,6,7,7,7,4,8,6,9,13,12,10,8,7,8,9,6,3,6,7,9,7,8,10,7
前金,2021/5/25,PM2.5,8,7,5,4,11,10,11,10,11,8,7,9,13,24,25,20,5,10,8,4,10,9,7,10
前金,2021/5/26,PM2.5,20,11,10,10,10,12,17,17,16,6,6,6,5,5,2,2,2,1,0,4,4,3,3,3
前金,2021/5/27,PM2.5,3,2,4,4,1,1,6,6,8,5,2,2,6,6,4,5,5,5,8,7,3,4,5,2
前金,2021/5/28,PM2.5,4,7,9,11,9,6,10,16,5,7,10,8,6,6,8,5,3,8,7,6,6,6,5,3
前金,2021/5/29,PM2.5,5,5,6,7,5,4,5,3,1,5,5,5,2,4,8,6,3,3,6,6,7,4,4,3
前金,2021/5/30,PM2.5,5,6,3,8,6,3,3,4,8,5,7,5,9,7,5,5,5,7,6,14,11,5,1,1
前金,2021/5/31,PM2.5,2,8,7,7,8,6,12,8,7,7,13,20,23,7,9,9,7,5,6,7,8,7,6,5
前金,2021/6/1,PM2.5,6,14,10,6,2,3,5,8,10,7,4,5,12,7,2,2,9,7,4,6,13,12,7,5
前金,2021/6/2,PM2.5,7,10,7,13,8,4,5,5,2,3,3,3,2,2,0,0,4,2,0,0,6,5,3,4
前金,2021/6/3,PM2.5,3,5,4,3,3,5,6,9,7,4,3,2,2,2,2,2,1,2,7,8,6,3,1,6
前金,2021/6/4,PM2.5,*,5,4,7,6,3,10,10,7,6,6,4,7,5,6,6,9,6,4,3,5,5,3,5
前金,2021/6/5,PM2.5,6,5,4,9,6,5,3,3,3,3,8,6,4,8,11,8,6,8,8,7,7,6,8,6
前金,2021/6/6,PM2.5,10,7,3,9,5,3,3,3,3,1,1,2,2,2,3,4,4,2,1,6,6,5,6,6
前金,2021/6/7,PM2.5,6,5,10,8,5,4,7,10,12,7,4,9,8,6,7,7,8,6,4,5,4,3,7,6
前金,2021/6/8,PM2.5,5,7,7,9,9,9,10,13,10,20,21,2,5,7,4,1,2,4,3,4,3,2,4,4
前金,2021/6/9,PM2.5,7,4,1,2,2,2,7,9,8,7,4,6,5,5,7,5,5,6,6,12,9,10,7,8
前金,2021/6/10,PM2.5,5,3,4,4,6,5,6,9,9,7,7,6,4,6,6,2,3,6,12,10,9,8,14,8
前金,2021/6/11,PM2.5,10,12,9,6,17,18,22,13,14,12,11,8,9,6,7,7,13,7,10,13,11,11,11,14
前金,2021/6/12,PM2.5,13,15,8,4,6,6,5,9,13,10,10,7,5,4,5,5,5,4,6,2,1,3,3,3
前金,2021/6/13,PM2.5,2,5,5,7,12,7,6,6,3,2,2,1,1,0,4,2,0,0,0,0,1,1,4,6
前金,2021/6/14,PM2.5,6,5,4,4,6,7,4,3,5,9,6,6,5,4,3,3,5,3,3,5,4,2,1,1
前金,2021/6/15,PM2.5,1,0,1,3,2,0,3,3,1,3,2,3,4,2,0,0,3,4,2,3,7,7,4,6
前金,2021/6/16,PM2.5,6,6,7,5,5,5,6,5,5,7,6,11,8,6,8,12,11,8,8,11,12,8,11,11
前金,2021/6/17,PM2.5,8,6,8,5,6,6,7,9,9,9,8,6,10,5,6,8,10,8,8,5,4,4,6,4
前金,2021/6/18,PM2.5,2,4,3,5,5,8,9,7,5,3,2,3,6,4,8,11,5,1,3,7,9,9,6,9
前金,2021/6/19,PM2.5,7,5,4,6,5,5,5,3,3,4,9,10,11,8,8,10,10,7,8,9,11,7,6,8
前金,2021/6/20,PM2.5,9,8,9,9,8,5,1,7,10,6,9,6,6,5,2,6,9,12,11,10,11,9,8,8
前金,2021/6/21,PM2.5,11,13,11,9,15,15,14,11,10,11,11,9,10,11,10,8,10,16,12,9,5,4,7,8
前金,2021/6/22,PM2.5,8,8,5,4,4,2,0,0,2,2,0,1,1,0,0,2,0,0,5,4,3,5,5,4
前金,2021/6/23,PM2.5,3,2,6,7,6,3,4,4,4,2,1,2,4,3,2,4,9,7,3,6,8,13,8,5
前金,2021/6/24,PM2.5,1,2,3,0,0,3,7,7,6,4,3,2,1,1,1,4,6,5,5,5,6,5,4,3
前金,2021/6/25,PM2.5,1,0,0,0,0,0,0,3,5,6,3,2,4,4,4,4,4,7,7,4,0,0,0,0
前金,2021/6/26,PM2.5,0,0,1,1,1,1,1,0,0,4,6,6,5,5,4,3,3,1,1,1,1,0,3,3
前金,2021/6/27,PM2.5,3,2,4,3,3,2,1,7,4,7,6,3,2,1,2,2,1,0,0,2,2,6,8,6
前金,2021/6/28,PM2.5,4,3,3,0,0,1,3,4,6,4,2,9,6,5,5,4,5,3,2,4,5,5,5,5
前金,2021/6/29,PM2.5,6,8,6,5,3,6,8,8,8,13,10,7,6,6,8,7,6,6,4,6,5,11,8,6
前金,2021/6/30,PM2.5,9,11,7,5,7,9,5,9,10,6,5,5,3,3,7,12,6,5,6,8,5,2,0,2
前金,2021/7/1,PM2.5,7,7,7,9,9,8,10,8,4,6,5,7,6,5,3,3,4,3,5,7,5,8,8,5
前金,2021/7/2,PM2.5,3,1,4,4,6,6,7,12,8,9,7,7,6,5,2,2,4,6,6,5,5,6,4,0
前金,2021/7/3,PM2.5,0,0,2,4,3,2,1,6,7,5,5,5,5,3,2,3,2,5,6,3,3,5,5,3
前金,2021/7/4,PM2.5,2,1,1,3,3,2,8,9,6,10,14,14,9,10,9,9,10,11,8,13,9,5,6,8
前金,2021/7/5,PM2.5,7,11,12,18,11,12,21,14,17,10,10,22,7,9,8,9,8,6,6,8,8,8,6,9
前金,2021/7/6,PM2.5,17,15,15,14,15,14,17,13,21,19,6,8,10,8,6,4,6,6,4,2,2,2,1,1
前金,2021/7/7,PM2.5,2,6,7,7,6,4,2,3,3,6,7,7,9,8,8,7,5,4,2,5,4,5,4,3
