site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/1/1,RH,67,67,68,68,68,68,68,68,67,67,65,57,57,56,58,60,63,65,68,70,71,71,71,74
古亭,2021/1/2,RH,78,80,80,81,80,78,81,80,74,73,69,68,70,70,72,76,77,77,79,78,77,75,75,76
古亭,2021/1/3,RH,76,74,76,76,76,77,77,78,74,68,65,61,57,56,58,65,72,79,83,83,85,85,84,80
古亭,2021/1/4,RH,79,85,89,90,91,93,94,94,95,95,95,93,85,83,81,84,85,84,86,90,93,94,94,94
古亭,2021/1/5,RH,93,93,92,92,91,88,89,88,85,84,82,83,80,80,79,80,83,88,88,87,87,89,90,90
古亭,2021/1/6,RH,91,90,88,87,90,89,89,89,88,83,80,79,80,82,83,84,84,85,88,88,90,91,92,92
古亭,2021/1/7,RH,92,92,92,92,93,92,90,89,88,87,87,88,88,87,87,87,86,87,85,85,84,84,82,83
古亭,2021/1/8,RH,85,85,84,85,87,88,90,91,91,91,91,89,85,80,75,73,72,72,79,77,75,76,75,70
古亭,2021/1/9,RH,70,70,70,64,65,64,66,64,61,59,59,60,59,59,59,58,60,63,66,68,67,66,65,62
古亭,2021/1/10,RH,62,64,64,64,65,63,65,64,62,58,53,53,55,55,59,62,64,67,67,68,71,69,72,78
古亭,2021/1/11,RH,82,86,87,89,90,91,92,93,93,91,91,90,90,91,91,90,88,88,90,92,91,89,90,89
古亭,2021/1/12,RH,90,90,90,90,89,89,87,85,84,82,79,70,63,59,53,51,55,57,62,64,63,64,64,64
古亭,2021/1/13,RH,67,76,80,81,81,80,81,80,65,56,53,49,46,41,37,40,52,57,64,70,73,77,79,80
古亭,2021/1/14,RH,82,83,82,82,83,82,82,81,74,64,51,43,39,37,39,42,48,54,58,61,63,65,70,73
古亭,2021/1/15,RH,75,72,76,76,75,76,76,77,73,64,56,44,37,28,37,47,58,67,72,76,78,80,81,83
古亭,2021/1/16,RH,85,85,85,85,77,78,70,68,65,59,51,50,47,47,61,70,76,80,76,76,76,77,81,80
古亭,2021/1/17,RH,81,83,80,76,74,72,76,79,78,76,71,70,71,72,72,76,82,82,81,78,81,79,75,72
古亭,2021/1/18,RH,73,73,72,71,71,71,70,67,65,63,60,54,55,56,58,59,60,61,63,63,64,65,66,67
古亭,2021/1/19,RH,66,63,60,58,61,61,61,60,61,63,62,54,51,52,53,57,61,66,69,70,71,73,74,75
古亭,2021/1/20,RH,76,77,78,77,77,77,79,79,72,69,66,61,60,58,56,60,63,65,65,66,63,62,64,67
古亭,2021/1/21,RH,68,69,70,74,77,79,75,73,68,61,56,51,46,40,40,45,53,57,61,65,68,71,73,73
古亭,2021/1/22,RH,72,72,75,77,79,82,84,83,82,76,70,67,68,68,66,72,77,80,84,87,88,88,88,90
古亭,2021/1/23,RH,88,87,88,89,90,91,91,90,88,86,83,78,74,72,72,71,73,78,79,79,79,76,75,75
古亭,2021/1/24,RH,75,76,77,78,77,76,75,73,69,66,64,66,63,63,65,66,68,70,72,73,70,70,73,72
古亭,2021/1/25,RH,73,73,72,72,72,73,76,78,71,59,55,60,55,61,59,65,67,70,75,78,78,77,78,80
古亭,2021/1/26,RH,82,83,84,83,85,85,85,84,81,74,65,57,63,63,65,68,69,73,78,80,81,82,82,85
古亭,2021/1/27,RH,87,88,87,86,85,85,83,83,81,81,75,73,71,70,72,72,74,75,77,79,79,76,74,74
古亭,2021/1/28,RH,77,80,81,81,80,82,82,80,77,75,77,78,84,88,90,91,90,88,83,68,67,63,57,60
古亭,2021/1/29,RH,64,64,64,63,63,61,60,57,60,59,54,51,50,50,55,57,58,59,59,56,59,61,60,62
古亭,2021/1/30,RH,66,68,68,68,69,71,72,71,65,57,51,48,46,46,45,48,52,57,61,62,64,65,65,66
古亭,2021/1/31,RH,66,69,71,71,68,69,70,71,64,58,50,44,42,43,44,46,50,55,57,59,61,64,67,71
