site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
前金,2021/1/1,RH,64,65,66,68,68,68,69,70,66,61,56,53,49,47,49,51,54,57,59,59,63,65,68,71
前金,2021/1/2,RH,73,74,75,75,78,79,80,79,68,58,60,57,51,50,54,58,61,63,63,65,67,70,74,76
前金,2021/1/3,RH,79,80,81,81,81,79,80,79,73,62,54,44,39,40,54,60,61,59,61,69,74,78,80,82
前金,2021/1/4,RH,84,84,85,85,86,85,85,85,79,67,61,58,56,60,69,73,75,73,71,76,81,83,85,87
前金,2021/1/5,RH,87,85,85,85,84,85,86,87,84,76,67,64,66,68,68,68,73,72,71,73,75,75,76,77
前金,2021/1/6,RH,78,78,78,79,79,77,76,76,74,71,68,67,69,70,71,70,71,73,73,73,73,73,74,75
前金,2021/1/7,RH,77,80,80,80,82,83,84,85,85,84,80,78,81,84,86,85,81,79,73,67,68,71,74,74
前金,2021/1/8,RH,74,75,76,76,74,72,71,70,71,70,68,64,63,62,62,62,61,63,64,65,66,65,65,64
前金,2021/1/9,RH,64,63,62,59,56,56,57,57,57,55,53,49,51,54,49,49,51,52,52,51,55,56,57,57
前金,2021/1/10,RH,57,58,60,62,63,64,68,69,65,59,52,52,54,51,47,49,54,59,61,60,60,61,63,63
前金,2021/1/11,RH,65,67,66,66,66,64,68,70,65,63,60,57,54,60,61,60,60,64,67,68,69,68,67,69
前金,2021/1/12,RH,71,77,78,76,76,78,73,69,68,62,56,52,49,48,47,47,49,49,52,55,56,58,60,62
前金,2021/1/13,RH,63,64,66,67,70,70,70,71,69,61,48,44,48,48,51,47,53,58,52,53,58,61,63,64
前金,2021/1/14,RH,65,67,66,69,70,70,65,64,54,47,47,43,40,39,43,44,45,48,55,61,61,58,56,60
前金,2021/1/15,RH,62,65,67,70,72,73,76,75,66,54,47,45,44,41,31,39,48,57,58,63,63,63,64,69
前金,2021/1/16,RH,72,74,76,77,78,79,80,80,74,62,59,55,42,49,58,51,44,57,63,67,72,75,79,81
前金,2021/1/17,RH,81,80,78,77,77,76,76,75,72,68,63,58,52,50,50,52,55,56,59,62,64,68,68,68
前金,2021/1/18,RH,68,69,72,73,74,76,76,76,73,64,58,54,54,56,58,58,61,63,68,68,67,68,69,69
前金,2021/1/19,RH,69,70,71,73,74,74,73,72,66,59,56,53,53,54,57,62,66,68,66,63,64,67,67,71
前金,2021/1/20,RH,76,79,81,83,84,86,87,88,84,70,60,63,62,66,72,76,77,79,83,83,81,80,81,82
前金,2021/1/21,RH,83,84,85,84,85,83,81,78,72,63,58,54,51,58,62,63,76,79,79,80,80,80,78,80
前金,2021/1/22,RH,80,80,80,80,82,83,83,84,84,78,73,72,75,81,86,87,88,84,80,86,88,88,88,89
前金,2021/1/23,RH,89,90,90,91,91,92,93,93,94,93,90,87,85,80,76,74,74,78,83,86,86,84,84,85
前金,2021/1/24,RH,86,87,88,89,90,90,90,90,89,87,80,76,75,77,75,73,73,77,78,75,72,71,74,77
前金,2021/1/25,RH,79,78,78,80,80,81,82,82,80,70,60,52,63,66,73,75,73,75,77,64,59,65,75,73
前金,2021/1/26,RH,72,72,76,79,81,83,84,86,85,77,67,64,67,70,74,70,65,77,83,81,80,77,77,78
前金,2021/1/27,RH,81,82,84,86,89,91,92,93,93,91,78,72,69,69,67,65,67,70,74,75,76,77,79,81
前金,2021/1/28,RH,84,85,86,87,88,89,89,89,89,86,74,60,58,68,53,50,54,59,62,62,65,66,66,65
前金,2021/1/29,RH,66,68,68,70,71,73,73,73,70,67,61,57,57,57,58,60,62,64,67,66,66,64,63,67
前金,2021/1/30,RH,69,69,69,71,72,73,71,66,60,54,52,55,61,62,63,63,65,70,74,75,75,75,74,73
前金,2021/1/31,RH,75,76,76,75,75,76,77,81,80,67,55,52,52,55,59,63,61,60,59,60,60,60,60,61
前金,2021/2/1,RH,64,65,70,73,73,74,73,71,61,45,30,19,26,19,28,35,42,52,43,39,44,45,44,46
前金,2021/2/2,RH,48,49,52,57,62,65,67,58,49,36,31,33,41,46,50,63,68,72,77,73,72,73,75,77
前金,2021/2/3,RH,79,80,81,81,80,80,82,82,74,66,60,60,60,61,65,67,71,75,76,76,75,73,73,75
前金,2021/2/4,RH,77,79,81,81,81,80,78,77,70,64,59,55,56,64,65,67,65,68,71,69,72,70,72,76
前金,2021/2/5,RH,81,83,82,83,84,85,85,85,79,69,63,59,64,63,64,67,70,73,76,78,81,82,82,82
